step,action,action_feedback,avg_execution_time,cpu,episode,episodic_reward,mean_reward,mem,n-step_reward,replicas,requests,throughput
174,-1.0,1.0,0.003000000026077032,0.004999999888241291,13.0,59576.140625,69179.40625,0.16979999840259552,7501.93994140625,2.0,1.0,100.0
175,-1.0,1.0,0.7929999828338623,0.3718999922275543,13.0,102387.8671875,69553.6328125,0.17520000040531158,7506.83984375,1.0,13.0,100.0
176,-2.0,0.0,0.7929999828338623,0.3718999922275543,13.0,96597.8671875,69922.2890625,0.17520000040531158,-100.0,1.0,13.0,100.0
177,-2.0,0.0,0.7929999828338623,0.3718999922275543,13.0,74319.0234375,69993.21875,0.17520000040531158,-100.0,1.0,13.0,100.0
178,0.0,0.0,0.7929999828338623,0.3718999922275543,13.0,58993.03125,69909.3515625,0.17520000040531158,-100.0,1.0,13.0,100.0
179,-1.0,0.0,0.7929999828338623,0.3718999922275543,13.0,36393.87109375,69599.4140625,0.17520000040531158,-100.0,1.0,13.0,100.0
180,2.0,1.0,3.247999906539917,0.1753000020980835,13.0,7402.2998046875,69169.6171875,0.17389999330043793,7503.35986328125,3.0,2.0,100.0
181,2.0,1.0,1.1859999895095825,0.12349999696016312,13.0,132911.625,69994.953125,0.1386999934911728,7499.27978515625,5.0,2.0,100.0
182,2.0,1.0,0.8539999723434448,0.08169999718666077,13.0,66762.359375,70065.3828125,0.13899999856948853,7493.759765625,7.0,8.0,100.0
183,-1.0,1.0,1.5709999799728394,0.22390000522136688,13.0,66966.703125,70139.5390625,0.18950000405311584,6209.669921875,6.0,35.0,91.0
184,0.0,0.0,1.5709999799728394,0.22390000522136688,13.0,118863.1484375,70060.1953125,0.18950000405311584,-100.0,6.0,35.0,91.0
185,0.0,0.0,1.5709999799728394,0.22390000522136688,13.0,58968.3984375,70203.1640625,0.18950000405311584,-100.0,6.0,35.0,91.0
186,2.0,1.0,6.900000095367432,0.19280000030994415,13.0,59379.03125,70123.265625,0.1542000025510788,7492.08984375,8.0,1.0,100.0
187,-1.0,1.0,0.597000002861023,0.00430000014603138,13.0,51846.640625,70048.6796875,0.15970000624656677,7493.0498046875,7.0,7.0,100.0
188,-1.0,1.0,0.8889999985694885,0.0925000011920929,13.0,51930.76171875,69893.90625,0.16699999570846558,7496.990234375,6.0,9.0,100.0
