timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777985696.0351841,5.69,72.73,11,15,0.0981,0.1793,9,15,0,0,0,30,False,3921.71,3967.2397,1.2263,2.2412,-49.0,15,3,5686.89,10063.68
1777985726.0507414,4.212,84.91,53,24,0.3872,0.1775,0,23,1,0,0,47,False,5282.09,5407.2811,4.84,2.2188,-132.25,45,7,5162.22,10509.01
1777985756.0655131,3.034,100.0,16,24,0.0416,0.174,0,23,1,0,0,47,False,7370.45,7500.0,0.52,2.175,-132.25,15,0,2957.02,5995.87
1777985786.084319,3.158,100.0,14,13,0.0773,0.1912,11,10,3,0,0,23,False,7467.36,7500.0,0.9662,2.39,-36.0,15,0,3102.85,3986.19
1777985816.1008542,2.119,100.0,2,13,0.0275,0.1819,11,9,4,0,0,22,False,7466.62,7500.0,0.3438,2.2738,-36.0,6,0,2510.73,2996.91
1777985846.114882,4.0,100.0,16,13,0.1709,0.1914,11,13,0,0,0,26,False,7468.53,7500.0,2.1362,2.3925,-36.0,17,0,3755.55,7585.05
1777985876.1310284,3.566,100.0,45,24,0.3165,0.1935,0,21,3,0,0,45,False,7374.12,7500.0,3.9562,2.4188,-132.25,41,0,3616.81,6357.54
1777985906.147855,2.298,100.0,13,24,0.0733,0.1718,0,21,3,0,0,45,False,7370.81,7500.0,0.9163,2.1475,-132.25,15,0,3232.98,6456.34
1777985936.1658642,4.592,100.0,6,12,0.0035,0.183,12,12,0,0,0,24,False,7472.08,7500.0,0.0438,2.2875,-30.25,6,0,4445.11,5961.77
1777985966.1863391,3.408,100.0,7,10,0.1243,0.2144,11,6,4,3,0,31,False,7483.98,7500.0,1.5537,2.68,-20.25,11,2,5314.87,10103.06
1777985996.2025294,3.771,75.0,4,13,0.0763,0.1684,11,13,0,0,0,26,False,4185.81,4218.75,0.9538,2.105,-36.0,7,1,4555.99,5960.36
1777986026.218856,3.135,100.0,13,13,0.0863,0.1974,11,11,2,0,0,24,False,7467.55,7500.0,1.0788,2.4675,-36.0,14,0,3403.06,5185.84
1777986056.23618,4.077,93.1,29,24,0.1323,0.2023,0,9,15,0,0,33,False,6372.64,6500.7075,1.6538,2.5288,-132.25,33,5,3773.85,9649.32
1777986086.2527554,4.061,88.89,18,24,0.1437,0.1704,0,19,5,0,0,43,False,5797.75,5926.0741,1.7962,2.13,-132.25,27,7,5946.91,10207.66
1777986116.2722466,5.062,81.82,11,24,0.0827,0.1873,0,16,8,0,0,40,False,4892.01,5020.8843,1.0337,2.3413,-132.25,15,2,6006.48,10235.47
1777986146.286035,4.956,40.0,5,18,0.049,0.1786,6,17,1,0,0,35,False,1130.6,1200.0,0.6125,2.2325,-72.25,9,3,6917.1,10105.22
1777986176.3003397,3.61,94.12,17,15,0.1305,0.1878,9,14,1,0,0,29,False,6598.91,6643.9308,1.6313,2.3475,-49.0,15,1,4040.95,7222.4
1777986206.31466,4.841,100.0,3,12,0.0535,0.1872,12,11,1,0,0,23,False,7472.76,7500.0,0.6687,2.34,-30.25,4,1,6453.25,6920.16
