timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777929456.0672748,4.357,91.89,37,24,0.3039,0.1573,0,19,5,0,0,43,False,45,3,4527.75,10376.5
1777929486.0812235,2.657,100.0,9,24,0.061,0.1615,0,16,8,0,0,40,False,14,0,2626.41,4433.02
1777929516.0939922,3.431,100.0,9,20,0.0925,0.1813,4,20,0,0,0,40,False,14,0,3274.4,5304.94
1777929546.1060748,1.91,100.0,18,15,0.0337,0.18,9,15,0,0,0,30,False,16,0,1919.91,3502.09
1777929576.1175296,1.945,100.0,2,14,0.0285,0.1789,10,13,1,0,0,27,False,2,0,1948.88,1189.39
1777929606.1321683,3.786,76.47,51,24,0.1477,0.22,0,23,1,0,0,47,False,44,10,5235.46,10406.46
1777929636.1445694,3.799,100.0,21,24,0.1914,0.173,0,24,0,0,0,48,False,18,0,3802.73,8070.92
1777929666.1578789,1.532,100.0,8,14,0.0208,0.1877,10,9,5,0,0,23,False,9,0,1718.68,2632.15
1777929696.1716092,3.912,80.0,5,11,0.0911,0.1819,13,10,1,0,0,21,False,10,1,3752.82,9189.31
1777929726.1839948,5.053,82.35,17,11,0.1447,0.2099,13,11,0,0,0,22,False,17,3,5603.16,10224.4
1777929756.1963148,4.029,97.96,49,24,0.1936,0.2083,0,21,3,0,0,45,False,42,1,4218.91,9811.09
1777929786.212969,3.005,100.0,19,24,0.1554,0.1796,0,24,0,0,0,48,False,19,2,3786.05,10040.68
1777929816.2248626,1.766,100.0,8,14,0.0111,0.1791,10,14,0,0,0,28,False,7,0,1769.24,1873.96
1777929846.2373202,2.068,100.0,12,13,0.1285,0.18,11,13,0,0,0,26,False,12,0,1936.73,2510.67
1777929876.2502005,3.274,100.0,20,12,0.0952,0.2054,12,12,0,0,0,24,False,18,0,3277.88,5148.1
1777929906.2622886,3.901,100.0,39,24,0.0391,0.1872,0,18,6,0,0,42,False,38,0,4317.57,8476.82
1777929936.2750347,2.034,100.0,20,24,0.1777,0.1569,0,23,1,0,0,47,False,23,4,4052.56,10269.57
1777929966.2928424,2.85,100.0,20,24,0.0416,0.1699,0,24,0,0,0,48,False,18,0,2814.03,6088.14
1777929996.306078,2.706,100.0,6,15,0.0166,0.179,9,11,4,0,0,26,False,7,0,2426.32,3490.42
1777930026.3198278,2.179,100.0,7,12,0.164,0.1815,12,12,0,0,0,24,False,12,0,2245.38,3671.23
1777930056.3315544,4.46,80.77,52,24,0.1588,0.2118,0,24,0,0,0,48,False,45,9,5333.75,10356.66
1777930086.345646,3.189,88.89,18,24,0.1877,0.1637,0,24,0,0,0,48,False,16,2,4044.14,10006.05
1777930116.3579726,2.092,100.0,9,14,0.0061,0.1767,10,13,1,0,0,27,False,9,0,2325.06,4145.42
1777930146.3708148,2.12,100.0,8,10,0.1234,0.183,14,8,2,0,0,18,False,10,0,2025.93,2493.61
1777930176.3843105,3.171,95.45,22,14,0.2593,0.174,10,13,1,0,0,27,False,20,1,3536.44,8345.39
1777930206.3983653,4.163,96.3,54,24,0.2164,0.2025,0,21,3,0,0,45,False,51,2,3807.19,8289.37
1777930236.4107814,2.499,80.0,10,24,0.1038,0.1757,0,20,4,0,0,44,False,13,2,3633.06,10084.68
1777930266.4233844,2.834,100.0,19,18,0.089,0.1815,6,12,6,0,0,30,False,23,0,2576.67,4414.85
1777930296.436074,2.702,100.0,3,15,0.0909,0.1846,9,15,0,0,0,30,False,9,0,2575.57,3802.46
1777930326.448683,2.496,100.0,12,12,0.0398,0.1875,12,4,8,0,0,16,False,14,0,2474.41,4108.2
1777930356.4688797,4.154,86.05,43,24,0.3027,0.1647,0,22,2,0,0,46,False,44,5,4704.35,10379.27
1777930386.4838443,2.751,100.0,3,24,0.0447,0.1644,0,24,0,0,0,48,False,5,0,3400.39,3978.92
1777930416.496719,3.829,100.0,19,14,0.0773,0.1861,10,14,0,0,0,28,False,16,0,3833.03,6378.1
1777930446.5101116,2.507,100.0,12,11,0.0095,0.182,13,7,4,0,0,18,False,14,0,2448.21,3480.67
1777930476.523377,3.851,74.51,51,24,0.1979,0.2113,0,23,1,0,0,47,False,48,11,5484.75,10263.2
